name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;7.455915e-02;-8.819973e+00;2.265220e+01;1.240790e-02;2.501652e-03;0;0;0;0;0;0;5.340461e+02;1.556939e+03;-201;1.590472e+03;-201;2.465452e+03;-201
'unknown';0.050000;6.710305e-02;-1.103041e+01;2.484339e+01;1.380955e-02;3.270890e-04;0;0;0;0;0;0;5.369097e+02;1.450979e+03;-201;1.669456e+03;-201;2.653752e+03;-201
'unknown';0.100000;6.763663e-02;-1.150297e+01;2.437167e+01;1.279956e-02;-2.146861e-03;0;0;0;0;0;0;5.729982e+02;1.347858e+03;-201;1.731320e+03;-201;2.851995e+03;-201
'unknown';0.150000;7.681674e-02;-1.120949e+01;2.481331e+01;1.458589e-02;-9.802107e-03;0;0;0;0;0;0;5.526738e+02;1.260631e+03;-201;1.637303e+03;-201;2.676746e+03;-201
'unknown';0.200000;8.408418e-02;-9.366070e+00;2.480046e+01;1.656519e-02;-1.372396e-02;0;0;0;0;0;0;5.477183e+02;1.283080e+03;-201;1.581020e+03;-201;2.388508e+03;-201
'unknown';0.250000;8.443721e-02;-8.370011e+00;2.722500e+01;1.878784e-02;-1.320893e-02;0;0;0;0;0;0;5.024955e+02;1.259747e+03;-201;1.515255e+03;-201;2.301162e+03;-201
'unknown';0.300000;7.743740e-02;-7.225457e+00;2.690051e+01;1.349887e-02;-5.272111e-03;0;0;0;0;0;0;5.125702e+02;1.280539e+03;-201;1.548101e+03;-201;2.413395e+03;-201
'unknown';0.350000;9.267030e-02;-5.992892e+00;2.459609e+01;1.167394e-02;-4.631798e-04;0;0;0;0;0;0;6.484945e+02;1.382647e+03;-201;1.607236e+03;-201;2.723606e+03;-201
'unknown';0.400000;1.162163e-01;-5.396254e+00;2.153141e+01;1.588907e-02;-2.612589e-03;0;0;0;0;0;0;6.343161e+02;1.474862e+03;-201;1.602022e+03;-201;2.477834e+03;-201
'unknown';0.450000;1.809091e-01;-2.174944e+00;1.620805e+01;2.320194e-02;-5.102791e-03;0;0;0;0;0;0;6.169916e+02;1.481220e+03;-201;1.592337e+03;-201;2.279960e+03;-201
'unknown';0.500000;1.740064e-01;-3.076755e+00;1.584292e+01;2.771415e-02;-4.816294e-03;0;0;0;0;0;0;5.739266e+02;1.450035e+03;-201;1.531347e+03;-201;2.216622e+03;-201
'unknown';0.550000;1.491365e-01;-4.814324e+00;1.697017e+01;2.257319e-02;-4.080753e-03;0;0;0;0;0;0;5.733423e+02;1.393292e+03;-201;1.535315e+03;-201;2.455826e+03;-201
'unknown';0.600000;1.162076e-01;-6.794635e+00;1.838664e+01;2.999575e-02;-3.050926e-03;0;0;0;0;0;0;5.363587e+02;1.431114e+03;-201;1.551813e+03;-1.354599e+02;2.591159e+03;-1.347970e+02
'unknown';0.650000;1.208731e-01;-7.537344e+00;1.882345e+01;3.065228e-02;-5.330835e-03;3.630776e+01;1.927424e-02;1.335748e+00;4.512437e+00;1.316833e+01;1.795958e+01;3.998198e+02;1.340699e+03;0;1.506553e+03;-7.241243e+01;2.481028e+03;-7.046305e+01
'unknown';0.700000;1.374325e-01;-8.824224e+00;2.046468e+01;4.576411e-02;-3.341140e-03;3.696357e+01;2.832282e-02;1.369945e+00;5.569935e+00;1.479974e+01;2.135681e+01;3.710182e+02;1.367734e+03;1.300066e+01;1.431691e+03;-1.102358e+01;2.382638e+03;-1.248759e+01
